Unnamed: 0,summary,label,score
0,"Elon Musk, J.B. Straubel, Deepak Ahuja and Doug Field will discuss Tesla's Q1 2018 financial results and Q&A andWebcast. During this call, we will discuss our business outlook and make forward-looking statements. As a reminder, this conference may be recorded.I would now like to introduce your host for today's call, Mr. Martin Viecha, Senior Director of InvestorRelations. Sir, you may begin.Martin ViechaThank you, Sherri, and good afternoon, everyone. Welcome to Tesla's First Quarter 2018 QQ&A Webcast.I'm joined today by Elon Musk, the Co-Founder, Chairman, CEO & Product Architect.",positive,0.765200674533844
1,"The vast majority of the Tesla production system is automated. But we did go too far in the automation front andautomated some pretty silly things. 5Machines are not good at picking up pieces of fluff, okay. Human hands are way better at doing that. Andso we had a super complicated machine using a vision system to try to put a piece of fluffle on the batterypack. That same -- and one of the questions asked was, ""Do we actually need that?"" So we tested a carwith and without and found that there was no change in the noise volume in the cabin. So that was one of one ofthe silliestthings I found.",negative,0.7650593519210815
2,"We've added cost. We'veadded a manufacturing step, better failure mode, and for something that is unnecessary. So that issomething that's -- or example of some things. That's changed. So -- and then result is we've had aradical improvement in production -- battery pack production went from taking 7 hours to make a pack 3weeks ago to under [ 70 ] minutes now, so just to show that it's like really radical improvement. It's R&Dpossible. We are almost the best-selling sedan in the United States in this category and -- as ofApril, and we will certainly be there in May, unless something really odd.",positive,0.6358209252357483
3,"In the third quarter, it will -- I think there's a good chanceModel 3 gets maybe close to majority market share of midsized premium sedans. This is coming from a standing start against alot of established brands who have far more sales outlets than we do, so this is very encouraging. And yes, as this letter says, I'm feeling quite confident about achieving GAAP net income andpositive cash flow in Q3. We aregoing to conduct sort of a reorganization restructuring of the company in the next -- this month and makesure we're well set up to achieve that goal. And in particular, the number of sort of third-party contractingcompanies that we're using has really gotten out of control. It's pretty crazy. You've got barnacles on barnacles. So there's going to be a lot of barnacle removal. All right. Any concern or make any comments?Martin ViechaThank you, Elon. Sherri, let's go to the first question.",positive,0.6970740556716919
4,"Elon R. Musk: I think a 5-day, 2-shift operation is a ridiculous way to operate because that wouldbe a very poor use of CapEx. Most of Tesla production has operated around 24/7 basis since we startedproduction. It really makes great use of the CapEx and the lines, andthat's why we did it, starting way back at the beginning of S. But aligning everything to the same shiftschedule makes it so much more efficient because we don't have the seesaw of inventory, the underlying inventory between the different shops. And one of the key things to improving the capital efficiency of the system is reducing work inprogress -- work in process. But it's -- this is sort of a -- we're using the chip fab approach to capitalefficiency, so it's called [indiscernible]. I don't know where it says what.",negative,0.6982455253601074
5,"The takt -- the number you're referring to is actually general -- the general assembly number. And probably the numbers go up rapidly as we go to the subassemblies that are in higher unitquantity per car.Elon R. Musk 7Co-Founder, Chairman, CEO & Product ArchitectYes.Brian Arthur JohnsonBarclays Bank PLC, Research DivisionVehicles per minute, yes. Elon Musk 7 co-founder, chairman, CEO, product architect of electric car company, SpaceX, and founder of Boring Company, a tunnel boring boring company. Elon Musk 7 Co-founder and chairman, Boring Co, LLC, a subsidiary of SpaceX, which is based in California. Elon R. Tesla Co- Founder, Chairman and Product Architect, Borsuk Co, Ltd.",neutral,0.6560856699943542
6,"Elon Musk: You can't just have it be operating at peak rates 24/7. You have to do ongoing maintenance. If you make like -- if 2 companies are competing and one has to double its CapEx in order todouble production and the other one can, with minor CapEx, can just speed up the line by double, it's agame over. It's like 0 maintenance time and 0 -- like you have todo equipmentupgrades. It can't be like that. It has to be some starts, some stops to get to 5,000 per week. But in the meantime, the lines -- then I think what you're saying, some starts and some stops will get you there. It will take some time.",negative,0.5068410038948059
7,"Elon Musk: If you have a really complicated machine like the fluff bot that I was talkingabout earlier, in order to keep it operating, you have to have a ton of maintenance engineering. So Ithink to actually -- I do not see this having a much of a long-term impact in our cost. I actually see it mostlikely our cost will decrease, or we consider the cost to producing the vehicles will decrease by getting ridof production stations that are really poorly suited to robotics because of the very expensive cost of robottechnicians.Deepak Ahuja: We are very CapEx efficient, or let me just start from that point. And if we look at our depreciationcost on a per-unit basis at steady run rate of 5,000 or so cars per week, we are, in my mind, well belowa lot of our --",negative,0.72480309009552
8,"Deepak Ahuja: Every data point suggests that we are best inclass, but we don't...Elon R. MuskCo-Founder, Chairman, CEO & Product ArchitectWe're the best, just not in class. Sorry. Deepak, can you give us some insight into how we can translate that into cost per kilowatt hour or some metric in terms of the gains that you're making? Deepak: I think directionally, Rod, it's helpful to understand the different commodities and the trends that we'repursuing in the batteries. We think we can get the cobalt to almost nothing. And our expectation fully is a lot of this labor will come out once we stabilizeproduction and then figure out smart ways of automating where it makes sense.",neutral,0.4912799000740051
9,"Elon R. Musk: There's lots of interesting things we could do. Cars got a lot of computing power, andit's connected to the cell networks and WiFi and everything, or it's certainly connected to a LEO Internetconstellation. Some argue that SpaceX could offer Tesla a resilient cybersecure pipe for this preciousvehicle data and a potential competitive advantage. Elon, isn't bandwidth an obvious domain forcollaboration between Tesla and SpaceX one day? Elon: I haven't really thought about it, but probably there is. Elon Musk: I specifically don't want to raise equity capital at Tesla. Elon Musk: Many investors on this call would say it's better to raise capital when you don't need to.",neutral,0.466703861951828
