Date,Content
2020-12-31,Tesla short sellers lost billions more on the electric-vehicle maker than any other company in 2020 https://t.co/Oit891uFxs
2020-12-31,Enphase joins Tesla as the latest clean tech firm to enter the S&amp;P 500 https://t.co/VZnl1TnUY7
2020-12-29,"In 2021, the breadth of the competitive attack that Tesla faces will be greater than ever https://t.co/zwPQZE6XaV"
2020-12-29,"In 2021, the breadth of the competitive attack that Tesla faces will be greater than ever https://t.co/Gdo8QmZ8lg"
2020-12-28,"In 2021, the breadth of the competitive attack that Tesla faces will be greater than ever https://t.co/a1ithDJ4l3"
2020-12-25,Elon Musk says it’s “impossible” to take Tesla private now https://t.co/Tyak87U4qS
2020-12-25,Elon Musk has made millionaires out of Tesla's most loyal fans. Meet one of them https://t.co/ed8diiphPv https://t.co/N1P10WPDIr
2020-12-25,"Elon Musk says he tried to approach Apple years ago about the possibility of buying Tesla for about $60 billion, but Tim Cook refused to take the meeting https://t.co/xC9xCoNPLy"
2020-12-25,Elon Musk says it’s “impossible” to take Tesla private now https://t.co/XMO0IHaTyA
2020-12-23,"Elon Musk says he tried to approach Apple years ago about the possibility of buying Tesla for about $60 billion, but Tim Cook refused to take the meeting https://t.co/ikhWRJP5Vj"
2020-12-22,Elon Musk says he once tried to sell Tesla to Apple for $60 billion https://t.co/EgqKltJNYo
2020-12-22,"Elon Musk says he tried to approach Apple years ago about the possibility of buying Tesla for about $60 billion, but Tim Cook refused to take the meeting https://t.co/bEU7LgHPJn"
2020-12-22,"Apple’s reported foray into making its own self-driving, electric cars creates “a new Tesla bear case,” according to Morgan Stanley https://t.co/nj4f6y9K2t"
2020-12-21,It didn’t take long for Tesla’s big price swings to heavily influence the S&amp;P 500 after its addition to the benchmark https://t.co/ky46l9mlRr
2020-12-21,"Fueled by the Tesla effect, convertible bonds are poised for one of their best-ever years https://t.co/ClTevwBsHv"
2020-12-21,Tesla shares fall 5% after being added to the S&amp;P https://t.co/3ICDsrAKTL https://t.co/4W7PX1wjeg
2020-12-21,Tesla shares tumble in their trading debut on the S&amp;P 500 Index https://t.co/DteDqaQD6I
2020-12-20,"Elon Musk inquires about converting “large transactions” of Tesla Inc.’s balance sheet into Bitcoin in a Twitter exchange with Michael Saylor, a prominent booster of the digital currency https://t.co/HOpwLGAu3V"
2020-12-20,"Elon Musk inquires about converting “large transactions” of Tesla Inc.’s balance sheet into Bitcoin in a Twitter exchange with Michael Saylor, a prominent booster of the digital currency https://t.co/xGq2AL7I7q"
2020-12-20,"In a tumultuous year for stocks, few stories have been as dramatic as the breakout for Tesla — as these charts show https://t.co/Rl5sZLB6U6"
2020-12-19,"In a tumultuous year for stocks, few stories have been as dramatic as the breakout for Tesla — as these charts show https://t.co/SKRXbRcGzG"
2020-12-19,This 32-year-old put everything he had in Tesla and became a millionaire. Meet Brandon Smith https://t.co/uZRQ8ihzNG https://t.co/Z0nmU0AFMf
2020-12-19,"Tesla’s historic entry into the S&amp;P 500 could be bad news for other stocks in the index—at least temporarily, Citadel's trading chief says https://t.co/FbOiu1F2Tw"
2020-12-19,"In a tumultuous year for stocks, few stories have been as dramatic as the breakout for Tesla — as these charts show https://t.co/3mx0yJelGj"
2020-12-19,Elon Musk’s personal fortune hit a new high after adding $9 billion Friday as Tesla prepares to make its debut in the S&amp;P 500 Index https://t.co/kaRSpxW2Kf
2020-12-19,Mechanical buying by index-tracking funds sent Tesla's stock to a record $695 in the auction used by exchanges to finish trading https://t.co/AjX4Aw9ooM
2020-12-18,Elon Musk’s personal fortune hit a new high after adding $9 billion Friday as Tesla prepares to make its debut in the S&amp;P 500 Index https://t.co/FPosiNZlDG
2020-12-18,Can any other startup meaningfully replicate Tesla’s success? https://t.co/ThZ8WEHnLt
2020-12-18,Tesla's most loyal fans have become millionaires this year — on paper https://t.co/7Ufnn5CMFe
2020-12-18,Tesla halted some construction work at its German plant project after failing to make a security deposit with local authorities https://t.co/FpgIuOafYO
2020-12-18,This 32-year-old put everything he had in Tesla and became a millionaire. Meet Brandon Smith https://t.co/2IIFAc4AhG (via @wealth) https://t.co/9hluTaLJqD
2020-12-18,"Tesla’s historic entry into the S&amp;P 500 could be bad news for other stocks in the index—at least temporarily, Citadel's trading chief says https://t.co/95DxkVzjDz"
2020-12-18,Can any other startup meaningfully replicate Tesla’s success? https://t.co/5KZLgmZMqX
