Date,Content
2020-12-31,Tesla short sellers lost billions more on the electric-vehicle maker than any other company in 2020 
2020-12-31,Enphase joins Tesla as the latest clean tech firm to enter the S&amp;P 500 
2020-12-29,"In 2021, the breadth of the competitive attack that Tesla faces will be greater than ever "
2020-12-29,"In 2021, the breadth of the competitive attack that Tesla faces will be greater than ever "
2020-12-28,"In 2021, the breadth of the competitive attack that Tesla faces will be greater than ever "
2020-12-25,Elon Musk says it’s “impossible” to take Tesla private now 
2020-12-25,Elon Musk has made millionaires out of Tesla's most loyal fans. Meet one of them 
2020-12-25,"Elon Musk says he tried to approach Apple years ago about the possibility of buying Tesla for about $60 billion, but Tim Cook refused to take the meeting "
2020-12-25,Elon Musk says it’s “impossible” to take Tesla private now 
2020-12-23,"Elon Musk says he tried to approach Apple years ago about the possibility of buying Tesla for about $60 billion, but Tim Cook refused to take the meeting "
2020-12-22,Elon Musk says he once tried to sell Tesla to Apple for $60 billion 
2020-12-22,"Elon Musk says he tried to approach Apple years ago about the possibility of buying Tesla for about $60 billion, but Tim Cook refused to take the meeting "
2020-12-22,"Apple’s reported foray into making its own self-driving, electric cars creates “a new Tesla bear case,” according to Morgan Stanley "
2020-12-21,It didn’t take long for Tesla’s big price swings to heavily influence the S&amp;P 500 after its addition to the benchmark 
2020-12-21,"Fueled by the Tesla effect, convertible bonds are poised for one of their best-ever years "
2020-12-21,Tesla shares fall 5% after being added to the S&amp;P 
2020-12-21,Tesla shares tumble in their trading debut on the S&amp;P 500 Index 
2020-12-20,"Elon Musk inquires about converting “large transactions” of Tesla Inc.’s balance sheet into Bitcoin in a Twitter exchange with Michael Saylor, a prominent booster of the digital currency "
2020-12-20,"Elon Musk inquires about converting “large transactions” of Tesla Inc.’s balance sheet into Bitcoin in a Twitter exchange with Michael Saylor, a prominent booster of the digital currency "
2020-12-20,"In a tumultuous year for stocks, few stories have been as dramatic as the breakout for Tesla — as these charts show "
2020-12-19,"In a tumultuous year for stocks, few stories have been as dramatic as the breakout for Tesla — as these charts show "
2020-12-19,This 32-year-old put everything he had in Tesla and became a millionaire. Meet Brandon Smith 
2020-12-19,"Tesla’s historic entry into the S&amp;P 500 could be bad news for other stocks in the index—at least temporarily, Citadel's trading chief says "
2020-12-19,"In a tumultuous year for stocks, few stories have been as dramatic as the breakout for Tesla — as these charts show "
2020-12-19,Elon Musk’s personal fortune hit a new high after adding $9 billion Friday as Tesla prepares to make its debut in the S&amp;P 500 Index 
2020-12-19,Mechanical buying by index-tracking funds sent Tesla's stock to a record $695 in the auction used by exchanges to finish trading 
2020-12-18,Elon Musk’s personal fortune hit a new high after adding $9 billion Friday as Tesla prepares to make its debut in the S&amp;P 500 Index 
2020-12-18,Can any other startup meaningfully replicate Tesla’s success? 
2020-12-18,Tesla's most loyal fans have become millionaires this year — on paper 
2020-12-18,Tesla halted some construction work at its German plant project after failing to make a security deposit with local authorities 
2020-12-18,This 32-year-old put everything he had in Tesla and became a millionaire. Meet Brandon Smith 
2020-12-18,"Tesla’s historic entry into the S&amp;P 500 could be bad news for other stocks in the index—at least temporarily, Citadel's trading chief says "
2020-12-18,Can any other startup meaningfully replicate Tesla’s success? 
2020-12-18,Tesla's most loyal fans have become millionaires this year — on paper 
2020-12-17,Tesla was upgraded by S&amp;P Global Ratings after a recent share sale boosted its cash to record levels 
2020-12-17,Mattel is telling customers who pre-ordered toy versions of Tesla’s Cybertruck that they won't ship for another five months and won't arrive for Christmas 
2020-12-17,A group of Wall Street data nerds argue Tesla may prove to be a drag on the S&amp;P 500 
2020-12-17,Tesla is the only U.S. automaker to meet a commitment to equip all its models with automatic emergency braking almost two years ahead of schedule 
2020-12-17,"Tesla's addition will only have a minimal impact on the S&amp;P 500 Index's valuations, Goldman says "
2020-12-17,A group of Wall Street data nerds argue Tesla may prove to be a drag on the S&amp;P 500 
2020-12-15,Volkswagen CEO Herbert Diess will pit the company's largest plant against the Tesla factory under construction near Berlin 
2020-12-14,"Former Boeing CEO Dennis Muilenburg is joining Monarch Tractor, a Silicon Valley startup that’s angling to be the Tesla of the Corn Belt "
2020-12-14,Are Tesla’s shares worth $90 or $780? Wall Street can’t decide 
2020-12-14,"For all the talk of ""Tesla fighters,"" Fiat Chrysler, Ford and General Motors were fine to let Elon Musk have his fun and his fun-house stock valuation. That is until 2018, when Tesla started tweeting about making a pickup "
2020-12-14,Are Tesla’s shares worth $90 or $780? Wall Street can’t decide 
2020-12-13,"For all the talk of ""Tesla fighters,"" Fiat Chrysler, Ford and General Motors were fine to let Elon Musk have his fun and his fun-house stock valuation. That is until 2018, when Tesla started tweeting about making a pickup "
2020-12-13,"For all the talk of ""Tesla fighters,"" Fiat-Chrysler, Ford and General Motors were fine to let Elon Musk have his fun and his fun-house stock valuation. That is until 2018, when Tesla started tweeting about making a pickup "
2020-12-13,Are Tesla’s shares worth $90 or $780? Wall Street can’t decide 
2020-12-13,Are Tesla’s shares worth $90 or $780? Wall Street can’t decide 
2020-12-13,Are Tesla’s shares worth $90 or $780? Wall Street can’t decide 
2020-12-12,Elon Musk said demand for Tesla vehicles is so high that production needs to increase as much as possible for the rest of December 
2020-12-12,Are Tesla’s shares worth $90 or $780? Wall Street can’t decide 
2020-12-12,Elon Musk said demand for Tesla vehicles is so high that production needs to increase as much as possible for the rest of December 
2020-12-11,The S&amp;P 500 Index will remove Apartment Investment and Management Co. to make way for Tesla 
2020-12-11,BREAKING: Tesla replaces Apartment Investment in S&amp;P 500 Index starting Dec. 21
2020-12-11,What companies will Tesla displace when it joins the S&amp;P? The wait to find out is almost over 
2020-12-10,Steel Dynamics shares jumped on a report that it could soon be supplying Tesla with steel for its upcoming truck 
2020-12-10,Tesla beats a legal challenge that threatened to delay Elon Musk’s plan to build his first electric-car factory in Germany 
