original_text,summary,negative,neutral,positive
,"Elon R. Musk - Tesla, Inc. - Co-Founder, CEO & DirectorThank you, Sherry. First of all, I'd like to thank the Tesla team for exceptional execution in the secondquarter despite tremendous difﬁculties. They've done an incredible job, and it's an honor to workwith such a great team. And just what a great group to work with, like I said, it's just an honorto work with such agreat team. So -- and as a result, we were able to announce our second quarter 2020 results at about 1:15 p.m. Paci ﬁc time in the update deck we",0.007180437911301851,0.020383493974804878,0.9724360704421997
,"Tesla's fourth consecutive proﬁtable quarter. The automotive industry was down about 30% year-over-year in the ﬁrst half of the year. Despite that massive industry decline,we actually went up. We're also very excited to announce that we're going to be building our next Gigafactory in Texas. It will be about -- I'll just go into a bit of detail on this, and thenI'm sure there'll be a lot of questions. But the location is 5 minutes from Austin InternationalAirport and 15 minutes from Downtown Austin, and it's about 2,000 acres. It's going to basically be an ecologicalparadise. So if anyone is interested in working at Giga Texas, with engineering, production, whatever the case may be, please let us know.",0.06564638763666153,0.2557535171508789,0.6786000728607178
,"California to do Model S and X for worldwide consumption and 3 and Y for the western half ofNorth America. And then we think probably also the Tesla Roadster, a future program, would alsomake sense in California. So I think this is a nice split between Texas and California. And just toemphasize, we'll continue to grow in California, but we'll be creating a massive factory andCybertruck and Semi programs in Texas. And I also want to just do a shout out to Tulsa, and just say thank you very much for -- to theTulsa team, the economic development team and the governor, really, I was super impressed. Thewhole Tesla team wassuper impressed, and we will, for sure, strongly consider Tulsa for futureexpansion of Tesla down the road.",0.02130797691643238,0.10195398330688477,0.8767380118370056
,"We've already started work on the facility, so some initial construction work. After the federal tax credit, Tesla Solar nowcosts $1.49 per watt. So deﬁnitely,think about Tesla whether you want a new roof or Tesla Solar Roof or you want solar on yourexisting roof, either way, we're the company to go to. And then you could also get a Powerwall andhave energy independence and be your own utility. So I think that product is really coming together,and it's only going to get better later this year. And we introduced the ﬁrst production car with more than 400 milesrange. So just very excited about that business potential.",0.031379345804452896,0.15270531177520752,0.8159152865409851
,"On net income, overall, as Elon mentioned, we achieved our fourth sequential quarter ofproﬁtability. This is despite a signiﬀcant impact to our ﬁnancials as a result of suspended operationsof our U.S. factories. To ensure the business remains healthy,we took temporary action to reduce costs, including expenses related to personnel and noncriticalpatent projects. On automotive gross margin, excluding regulatory credits, this reduced sequentially from 20% to18.7%. This sequential reduction is fully attributed to idle capacity charges and lower operationalefﬃciency due to the various shutdowns. Despite these charges, we continue to make progressreducing our costs, particularly in COGS and operating expenses.",0.39409905672073364,0.4654425084590912,0.14045841991901398
,"With the release of stoplight and stop sign recognition and response, we recognized $48 million ofdeferred revenue in the period. We made the decision in Q2 to pass through savings to customers aroundthe world on some of our products. Our Megapack product achieved its ﬁrst quarterly proﬁt. on Model Y in Fremont and Model 3 in Shanghai. We remainproduction-constrained in this business and are continuing to work towards building additionalcapacity. On cash ﬂows, our cash balance increased to our highest level yet of $8.6 in the second quarter.",0.03090795874595642,0.39793646335601807,0.5711556077003479
,"Elon Musk: I don't think we can comment on our detailed product road map beyond what's announced. But it would be reasonable to assumethat we would make a compact vehicle of some kind and probably a higher capacity vehicle ofsome kind. These are likely things at some point. But I do think there's a long way to go with 3 andY and with Cybertruck and Semi. I think we'll do the obviousthings. Thank you very much. Back to Mail Online home. back to the page you came from. Back into the page that you camefrom. The question #1 is, as Tesla continues itsjourney towards the long-term goal of selling 20 million units per year, what are the most importantvehicle programs that will drive volume growth over the next 3 to 5 years beyond Model",0.0508347749710083,0.44515132904052734,0.5040138363838196
,"Elon R. Musk: I think the upgrading ofthe ﬁeet to Full-Self Driving, especially with an over-the-air software update, I mean, may go downas the biggest asset value increase in history as a step change. So overnight, 1 million -- depending exactly on when it happens and when it's allowed in various regulatory jurisdictions,you'd have like, I don't know, at least a few million cars suddenly becoming 5x more valuable orsomething like that, something like 5x higher utility. We're already putting some games andstuff on the car, just for fun. But they're all very tiny compared with like the step change to Full Self-Driving, dependingupon how you calculate it, is probably worth at least $100,000 per car. So that's a lot of softwareyou have to sell in the App Store or whatever, yes.",0.2446574568748474,0.40453633666038513,0.35080620646476746
,"Elon Musk: The major milestone that's happening right now is really a transition of the autonomysystem of the cars like AI, if you will, from thinking about things in, I call it like, 2.5D. It's like --think of taking like isolated pictures and doing image recognition on pictures that are harshlycorrelated in time but not very well. So that architectural change, which has been underway for some time but has not really beenrolled out to anyone in the production ﬂeet is what really matters for Full Self-Driving. The third question is also about Autopilot. What are the most important upcoming self-drivingmilestones? And how do you think about timing?Elon R. Musk - Tesla, Inc. - Co-Founder, CEO & Director",0.09280361980199814,0.5821260213851929,0.3250703513622284
,"Elon R. Musk - Tesla, Inc. - Co-Founder, CEO & DirectorWell, we bring a massive amount of effort into manufacturing engineering, the machine that makesthe machine. There's probably 1,000%, maybe 10,000% more engineering required for the factorythan for the product itself. We're getting way better at making cars. You can see that in Giga Shanghai. You'll see that evenmore with Berlin. The fundamental architecture of Model Y will be different in Berlin. It may lookthe same, but the internals will be quite different and fundamentally more efﬁcient architecturally than what we've done to date.",0.07953500747680664,0.34395694732666016,0.5765080451965332
