original_text,summary
"Sure thing. Our first phone question will come from the line of Dan Galves withCredit Suisse.Daniel Galves So if you -- if we assume Model S volume of 50,000 in 2015, deliveries need to average over 14,000 perquarter in Q3 and Q4. What's the biggest challenge to get there? And do you have order rates today thatsupport that level of volume in the back half?Elon R. MuskSure. So yes, I mean, that's about right. I mean, obviously, with the Model X production ramping upquite heavily in Q4, depending upon how that ramp goes -- and obviously, it's difficult to predict that withperfect clarity. But the -- our volume essentially doubles in Q4. So depending upon how the ramp goes,I do want to emphasize that -- sorry, what sometimes people don't totally appreciate is that there areseveral thousand unique parts in the car. And if even one of those parts is not available for any reason,then you cannot ship, you cannot scale production. So -- and so it's essentially the production ramp goesaccording to the unluckiest and worst-performing supplier or part of Tesla. But that said, we do expectto see a significant ramp in Q4 for the X and have something that may be as much as 2x other quartersin Q4. And as far as the demand for that, we do not see that being a problem. There are huge advancedorders for the X, and we see a steady climb in demand for the S.Daniel GalvesOkay, got it. And just as a follow-up, you've improved the Model S a whole lot in the last couple ofyears. Does that make it easier to launch Model X at a high quality level? And does it allow you to moveengineering and design resources towards Model 3 faster than you moved resources to Model X?Elon R. MuskYes. In the case of the X, the X ended up having a lot -- being a lot more different than the S than weoriginally anticipated. So the development took a lot longer, and we were distracted solving all sort ofissues with the S during that time, which made it difficult for us to allocate engineering resources to theX when there were issues to be solved with the S.","Elon R. MuskSure. So if you -- if we assume Model S volume of 50,000 in 2015, deliveries need to average over 14,000 perquarter in Q3 and Q4. What's the biggest challenge to get there? And do you have order rates today thatsupport that level of volume in the back half?"
"So I think we'll do a lot better with the X and we'repaying close attention to some of the things that are different about the X to make sure that they're notan issue, particularly the Falcon Wing door and the second row seats. And yes, so I'm feeling pretty goodabout things. But because that production ramp just scales exponentially, depending upon where thatexponential curve falls across a quarterly boundary, it can actually make quite significant -- make quitea significant effect on the production and deliveries in that quarter. So that's why it's like -- it's easy --it's a lot easier to predict it sort of continuous than if it's discrete with offshore [ph] quarterly cut-offs.But I really think the X is going to be -- it's really going to be a great car. I just drove the latest prototypetoday, and it's like, wow, this is by far the best SUV.","The production ramp just scales exponentially, depending upon where thatexponential curve falls across a quarterly boundary. So I think we'll do a lot better with the X and we'repaying close attention to some of the things that are different about the X to make sure that they're not an issue."
"Next question comes from the line of John Lovallo with Bank of America Merrill Lynch.John Lovallo First question is, do you guys earn 4 or 9 ZEV credits per vehicle? And how many vehicles are participatingin your battery swap beta program?Deepak AhujaThe amount of credits, ZEV credits, we earn depends on the size of the pack, different for what we'redoing for the 60 versus 85, and now the new ones at 70. That has been varying over time, the amount ofZEV credits we earn. So I'll need to confirm that before I give the official number here.Elon R. MuskThe ZEV credits thing, it's not like -- I mean, it sort of moves things by like 2%. It's like not supermaterial. So I'm not sure what the point of your question is.John LovalloWell, yes, here's the point of the question is that assuming you guys sell 10,000 vehicles in ZEV states thisyear, that would mean that you would need 400 programs -- sorry, 400 vehicles involved in this batteryswap program if you assume that each of them swapped 25x each, so a minimum of 400 vehicles. So I'mcurious if there are 400 vehicles involved in the battery swap program.Elon R. MuskWell, I mean, you do realize like ZEV credits don't sell for 100 cents on the dollar. They sell for like $0.50or sometimes less. And there are not always customers for the ZEV credits.John LovalloYes, I'm just asking about what you guys are actually earning per vehicle. Okay, and I guess the next...Elon R. MuskIt's not a big deal, yes. And as more of our production goes overseas, obviously, there's no ZEV statesoverseas. And as our sales increase outside of California or Canada, those are not ZEV states. So this islike -- the ZEV stuff is like an increasingly small part of the picture over time.Jeffrey B. StraubelWe have hundreds vehicles in the battery swap pilot program.Elon R. MuskYes.Jeffrey B. StraubelIt's not like 10 or something like that. It's hundreds of vehicles.Elon R. MuskYes. We've steadily increased the invitation list. We've just found like it's -- there just is not a lot ofinterest in people doing pack swap. So we make the invitations, and we get a very small percentage thatactually take us up on the invitation. John LovalloRight. The only point is there's a difference of 5 ZEV credits per vehicle. That was the only point.","The amount of credits, ZEV credits, we earn depends on the size of the pack, different for what we'redoing for the 60 versus 85, and now the new ones at 70. That has been varying over time, the amount ofZEV credits we earn. We have hundreds vehicles in the battery swap pilot program."
"Mysecond question would be, my the final question, there is some news report saying that SolarCity hassaid that they're not going to use the 7 kilowatt hour battery. In fact, I think there was a quote from aspokesman -- whether it's true or not, we don't know -- saying that it doesn't make economic sense. Imean, can you guys comment on that, please?Elon R. MuskYes. I mean let me just sort of talk more broadly about the response to the power wall and powerpack because I don't think that's the really the question you should be asking. But the response hasbeen overwhelming, okay, like crazy. The -- In the course of like less than a week, we've had 38,000reservations for the power wall, 2,500 reservations for the power pack. The power pack, it should benoted, typically this is bought by utilities or large industrial companies for heavy industrial work. Sotypically, power pack it's like at least 10 power packs per installation. So if there's 2,500 reservations,it's actually 25,000 power packs. Power wall also is -- we suspect is probably an -- average of number ofpower packs is probably 1.5 to 2 per installation. So 38,000 reservations is more like 50,000 or 60,000actual power walls. So I mean, there's like no way that we could possibly satisfy this demand this year.And we're basically like sold out through the middle of next year in the first week. It was just crazy. Wehad 2,500 requests from companies that want to distribute and install the power wall and power pack.We can't even respond to them. This is -- we have to like triage our response to those who want to be adistributor. So it's like crazy off the hook, yes. And it's just -- it seems to have gone super viral. For thespecific case of SolarCity, what they're referring to is that there's 2 versions of the pack -- of the powerwall. There's the daily cycling version and there's the power backup version. One's energies optimized andone's daily cycling optimized. So the daily cycling optimized one, the economics, it is true in the U.S. withrare exception, are more expensive than utility. So if somebody wants to do a daily cycling basically gooff grid. It's going to be more expensive than being on grid.","Elon Musk: The response hasbeen overwhelming, okay, like crazy. In the course of like less than a week, we've had 38,000reservations for the power wall. And we're basically like sold out through the middle of next year in the first week. So it's like crazy off the hook, yes."
"This doesn't mean that people won't buy itbecause there are people who want to go off grid on principle, or they just want to be independent. Andthat's what the SolarCity comment is about.Jeffrey B. StraubelIt might also be worth noting that SolarCity doesn't yet operate in Europe. the main target applicationfor the daily cycling battery pack was actually -- were several markets not in the continental U.S. Andparticularly, Germany and Australia are very strong markets where it does make economic sense todaybased on the feed-in tariff and the electricity rate structures in those countries. So SolarCity's comments, Ithink, need to be put in the regional context.Elon R. MuskYes. SolarCity is only operating in the U.S. And the power wall, it will be available from SolarCity and fromother installers in both configurations. But if someone is doing a daily cycling application, they're doing itout of -- because they specifically want grid independence. And there's some number of people who willwant to do that, and that's good. And it's also important to appreciate like even to say the power backupsystems, so that you always have power in the event of a power outage, if -- like let's say that appealsto like 2% of households in the U.S. or 1%. Let's say 1%, that's 1 million households. Like is there oneperson in 100 care about having battery backup in the event of utility outage? Probably. We couldn't evensupport a small fraction of that, so -- right now, so it's kind of a moot point.",SolarCity doesn't yet operate in Europe. The main target applicationfor the daily cycling battery pack was actually -- were several markets not in the continental U.S. Germany and Australia are very strong markets where it does make economic sense todaybased on the feed-in tariff and the electricity rate structures.
"Our next question comes from Andrea James with Dougherty and Company.Andrea Susan James Just to build on the Tesla Energy conversation, what are your revenue and gross margin targets on thatbusiness? And how do we look at the 2015 ramp?Elon R. MuskWell, I mean, the gross margin revenue obviously is going to change with time. So when it's low volumemade in Fremont, it will be relatively low margin. Once we get to Gigafactory up and running and -- highvolume and get the economies of scale working, this is just a guess right now, but I mean like maybe it'ssomewhere around 20%. It's not like -- it's like we just don't have enough information to say exactly thatwould be, but probably 20% is a reasonable guess. And then in terms of volume, I mean, we're going totry to scale it as fast as we can -- as the slowest manufacturing constraint. So I mean, it's easier to saywhat's the long term without saying like exactly which quarters it's going to be, and I don't know. But Ithink we'll see demand for stationary storage as measured in sort of megawatt hours or gigawatts hoursto be approximately double that of the car. That's our best guess for long-term demand yet.Andrea Susan JamesHow do you think about your capacity or even your cost per kilowatt hour? Because it's different than acar, right? The duty load is way different for a stationary storage application. So can you educate us a littlebit on how we look at analyzing that business and the difference between that and the energy needs ofthe car business per pack?Elon R. MuskYes, there's 2 applications which are quite different. One is backup power or peaker -- sort of theequivalent -- on a utility scale of like a peaker plant, which is a high-energy application. And then there'sthe daily cycler application. There are different chemistries depending upon which one you have. So thebackup power chemistry is quite similar to the car, which is like a nickel cobalt aluminum cathode. Thedaily cycling control [ph] constituent is nickel manganese cobalt, so there's quite a lot of manganesein there. And there's just one's meant for, call it maybe 60 or 70 cycles per year. And the other one ismeant for daily cycling -- daily deep cycling, so it's 365 cycles a year.","Elon R. Musk: Ithink we'll see demand for stationary storage as measured in sort of megawatt hours or gigawatts hoursto be approximately double that of the car. And then in terms of volume, I mean, we're going totry to scale it as fast as we can -- as the slowest manufacturing constraint."
"And the daily cycler one, I mean, weexpected to be able to daily cycle for something on the order of 15 years. Obviously,, the warranty periodwould be a little bit less than that, but we expect it to be something that's in the kind of 5,000 cycle-range capability, whereas the high-energy pack is more like around the -- maybe depending on how it'sused, anywhere from 1,000 to 1,500 cycles. And they have comparable calendar lives. And yes, so that's-- now for the high-energy one, it's important to appreciate that this is actually -- has a lot of interestfrom utilities, because utilities have to maintain these things called peaker plants and for like when there'slike a sharp increase in usage. Like if you can imagine, like the highest-energy day in California on likea hot summer day where there's a heat wave, the energy consumption there is very high compared to apleasant spring night, where nobody's air conditioning or heating is on or for very little and like commerceis not happening and people are asleep and lights are off. That can be a huge delta. Depending upon thesituation, it can be anywhere from like a 5 to 10x difference. So then having a battery pack that can takeout those like very sort of weird sharp peaks like the heat wave day. You could either have a battery packwhich requires basically no maintenance and doesn't require any fuel, and it's going peak shave thosereally troublesome days. Or you could have like a power plant that requires fuel and maintenance, and it'sgot to be -- it's always got to be maintained at it's-- it takes time -- it's not -- you can't just start it up in 3seconds like it -- you've got have notice. The high-energy pack is actually very economically competitive inthose sort of situations. And then the high cycling pack is really great for -- if you've got some sort of windor solar situation, that's where the high cycling one is really great on the utility scale. I should say like the-- we expect most of our stationary storage sales to be at the utility or heavy industrial scale. It's probably-- again, just a guess because it's early days, 5 to 10x more megawatt hours will be deployed at the utilityand heavy industrial scale than at the consumer scale.","The high-energy pack is more like around the -- maybe depending on how it'sused, anywhere from 1,000 to 1,500 cycles. And the daily cycler one, weexpected to be able to daily cycle for something on the order of 15 years. Most of our stationary storage sales to be at the utility or heavy industrial scale."
"So the power pack would be the one that's like the heavy duty, the big production sales one, not so much the power wall. The power wall is great, but it'sprobably only 10% to 20% the size of the power pack demand.Jeffrey B. StraubelMaybe one point on the cost structure. There's definitely a lot of commonality in the supply chain and evenin the manufacturing base on how we do the modules themselves for the Tesla Energy products, alongwith the vehicle products. So as we ramp up production on the Tesla Energy products, there definitely arebenefits to the vehicle costs of energy storage from scale and from just generally moving more materialand kilowatt hours through that whole chain. So both businesses benefit each other.Elon R. MuskYes. I mean, clearly given the very high demand that we're seeing for Tesla Energy products, we'reactually trying to figure out if we can go from like our current production target of like 35 gigawatthours at cell level and 50 at the pack level in our Nevada plant to maybe 50% more than that or evenhigher because just the sheer volume of demand here is just staggering. We could easily have the entireGigafactory just do stationary storage.Andrea Susan JamesRight. So you have some capacity. I think you said maybe 15% of your capacity might be reserved forstationary storage. Maybe I've read that in an article somewhere, I'm not sure.Elon R. Musk15 gigawatt hours or 1/3 of the 50 gigawatts hours that's targeted at the pack level, so 15% at the 15gigawatt hours or roughly 30%.Andrea Susan JamesOkay. And you might add now maybe -- you're looking at doing another 50%, In growing the capacity50%, and you have the space, I guess there in Nevada to do that?Elon R. MuskWe do. I don't want to make that a prediction. But that seems like the thing that we should do, so we'reinvestigating that. It seems like the logical thing to do, so we're going to probably try to do that, yes.Because we're fairly confident at this point, that the entire Gigafactory output could just do stationarystorage. It's like wow, okay, we need to make cars, too. So we should try to make the factory bigger.That's like the total logic.",Elon R. Musk: We're trying to figure out if we can go from like our current production target of like 35 gigawatthours at cell level and 50 at the pack level in our Nevada plant to maybe 50% more than that or evenhigher. We could easily have the entireGigafactory just do stationary storage.
"It's not more complicated than that.Andrea Susan JamesBut given the choice between making -- sorry, but given the choice between making a pack for a car andmaking a pack for a stationary storage application, how do you pick which one gets the priority?Elon R. MuskWell, I guess we'd pick cars because we got this whole other plant here in Fremont making cars. So carswould get the priority, yes. That would be the logical priority. And yes, but I mean, it really feels like, man,the stationary storage demand is just nutty like worldwide, it's just crazy.Jeff Evanson Huey, we actually have a question e-mailed in from one of the analysts that is out of the country, so I'llread that -- those next. And it will start with the energy storage questions.So guys, do our years in R&D work in vehicle batteries contribute benefits into this Tesla Energy business?Where have we've drawn some learnings from the vehicle business for Tesla Energy?Elon R. MuskWe've learned a lot about battery packs, I mean obviously, how to make them, and have them last for along time, and work in high temperature ranges and that kind of thing. I think there are a few points ofclarification that should be made with -- regarding the power wall because a lot of people are confusedabout the whole inverter issue. So there's -- the power wall does include a DC to DC inverter. And thatcan interface directly with a solar panel installation. And if somebody has a solar panel installation, theyalready will have a DC to AC inverter for the solar power system. And so no incremental DC to AC inverteris needed. Like in some of the analysis we've seen online by people who think they are experts, they don'tseem to realize that there is a DC to DC inverter, and we haven't been, I guess, quite clear about that,which we need to be. But like if you already have a solar installation, or you're going to get one, the DCto AC inverter is already there. That's an important point concerning the cost of the system. And then theoperating temperature, it's actually capable of operating at a much wider band of temperature. So we'vegot to fix that specification that's stated on the website.Jeffrey B. StraubelIn general, most of the learnings from the car R&D and engineering carry over. I mean part of why we cando this so quickly and...Elon R.","Elon R. Musk: We've learned a lot about battery packs, I mean obviously, how to make them, and have them last for along time, and work in high temperature ranges and that kind of thing. I think there are a few points ofclarification that should be made with -- regarding the power wall."
"MuskAnywhere the car works, the pack will work. And the car works pretty much everywhere. So -- in fact itdoes work everywhere, so the pack will work everywhere, obviously.Jeffrey B. StraubelIf anything, it's quite over-engineered for a battery pack that doesn't have to move. It gets mounted onyour wall. So I think that's going to be a great benefit for reliability and just longevity of the pack.Jeff EvansonAnd one for Deepak. Would you be willing to provide any breakdown of the capital -- the CapEx spendingin Q1?Deepak AhujaChief Financial OfficerThe CapEx spending was primarily driven by the capacity expansion that we're doing for Model X,including the tooling spend. And then, of course, we are putting in the new paint shop, which is a verysignificant investment. That will be ready in Q3. And then we have also had investments in the Gigafactoryand our sales and service network. That's probably the order in which we've been spending.Jeff EvansonGreat. Thank you.","If anything, it's quite over-engineered for a battery pack that doesn't have to move. So I think that's going to be a great benefit for reliability and just longevity of the pack. And the car works pretty much everywhere. So -- in fact itdoes work everywhere, so the pack will work everywhere."
