summary,label,final_score
"Elon Musk, J.B. Straubel, our CTO; CFO, Jason Wheeler; and Jon McNeill, President of Global Sales, Service and Delivery. We will discuss our business outlook and make forward-looking statements. These are based on our predictions and expectations as of today. Actual events or results could differ from these statements due to a number of risks and uncertainties, including those mentioned in our most recent Form 10-Q filed with the SEC. We are happy to answer any questions you may have about Tesla's fourth quarter and full-year 2015 results. The webcast is available at the same link as the Q4 update letter, which includes GAAP and non-GAAP financial information and reconciliations between the 2.",neutral,0.7184044122695923
"Elon Musk: I think the newsletter probably speaks for itself, but I'll add some commentary on some of the lead points. We had a huge increase in Model S deliveries year-on-year in Q4 last year, going up 76%. And then we feel pretty good about where we're tracking to probably get close to 30% by the -- by about Q4 this year. And then something I'm personally quite excited about is that we expect to be positive cash flow starting next month and then continue on into Q2 and beyond. And with that, I'll turn it over to you, Elon. Elon R. Musk Co-Founder, Chairman, Chief Executive Officer and Product Architect Thank you. Back to Mail Online home. back to the page where you came from. Back into the page you come from.",positive,0.8996899427910614
"The asset-backed line, which really I think is -- was accurately regarded as a slight decrease in the gross margin of the car by about roughly 0.1% or thereabouts. Apart from that, we're positive cash flow. And then we're expecting to be profitable for 2016 on a non-GAAP basis. I think this is going to be really well received and then getting into production and delivery at the end of next year. And -- but then nonetheless, despite the lease accounting stuff, we anticipate being profitable by GAAP standards in Q4 of this year. We're really looking forward to the -- building the Model 3 on -- at theend of next month. And I think the chart on vehicle demand is a good one.",positive,0.7291673719882965
"Tesla does not advertise. We don't pay for any endorsements. We do not discount our cars for anyone, including me. Whereas those actions are -- all of our competitors take those actions. We also have far fewer sales outlets than our competitors. Essentially, there's a lot of degrees of freedom that we are not exercising that we could, in theory, exercise. In Switzerland, we outsold the Mercedes S-Class, the BMW 7 Series, Porsche Panamera and the Audi 8 combined. And in Germany, weOutsold the PorschePanamera. So I think these are pretty interesting. I pay full retail price. I think -- oh, and if you look at the text, it's worth noting that this is not just uniquely true in the United States.",neutral,0.5075217634439468
"I'm super excited to be here, as excited as I was on the first day I walked through the door. We had over $67 million in Model X ramp-up costs and nonrecurring items in the quarter, as Elon mentioned. Correcting for these items, automotive gross margin, excluding ZEV credits, would have been 25%. Jason, do you want to add anything? Jason S. Wheeler Sure, absolutely. Thanks, Elon. First of all, I look forward to working with everybody. I think they make a difference in accelerating the advent of electric vehicles. And it's really important to appreciate that incentives are an accelerant.",positive,0.9488508105278015
"The place is moving really fast, and we took some time, Elon talked about this in Q2 on the earnings call during the shutdown, putting better systems in place to track this. We're moving to a place where we're tracking E&O on a real-time basis and bringing those facts to the table when we're making decisions. So we shouldn't be in this position again. And when you add back the leasing proceeds that we get of $209 million, it's a great step change in the right direction to getting us to net cash flow positive. Also CapEx, we guided to $500 million last quarter on the call. We closed out at $411 million for the quarter. That all resulted in ending cash balance being at $1.2 billion, which I think showcases our strong improvement in cash management and discipline.",positive,0.6411299407482147
"Brian Arthur Johnson with Barclays PLC. First, can you kind of just refresh us given the change from the revolver to the ABL? What's the available borrowing base? How much of that is, as you think about next year, going to be used to support increased on-balance sheet leasing versus increases in finished goods inventory? And what's your remaining, if the banks were to come in kind of borrowing base that would be left unpledged? Jason S. Wheeler Former Chief Financial Officer Yes, sure. So on where we closed Q4 at, I think we were $135 million fully drawn on it. And then in terms of the borrowing base, there's a lot of detailed numbers behind that. I think the most important thing to point out here is the increase to $1 billion that we did with our banking partners. There are some restrictions there, and we don't want to max that out. So we're going to monitor it carefully and just make sure we get the production we need. we need to get full production with Model X. It's sort of the work in process on the X.",neutral,0.7798872292041779
Elon Musk: We actually started on that early and launched the campaign in the second half of 2015 to reach out to folks who had cars coming off lease. And one of the attractive things to those folks who were coming off a lease is have a car that's equipped with Autopilot. It's really exciting. And so we're finding that folks are willing to upgrade their Tesla as part of this campaign.OperatorOur next question comes from the line of Colin Rusch of Oppenheimer. Colin William Rusch: Can you talk a little bit about your preparations for that and your expectations on what will happen with those cars and how many of them are actually going to get returned?,positive,0.8543931841850281
"Elon Musk: I think the statement we made with the Model X, which I really think we've taken to heart at Tesla, is that we put too many new features and technologies, too many great things all at once into a product. In retrospect, it would have been a better decision to do fewer things with the first version of Model X and then roll in the capabilities and features and new technologies over time in subsequent years. So I do think that there were some issues with the Q4 launch, but we've learned from them and we're moving on to the next phase of the company's growth.",neutral,0.5394816398620605
"Musk: I think the Model X is an amazing car. I'm not sure anyone's going to make a car like this again. The operation of the falcon door, the sourcing and supply of the large glass windscreen, are not a bottleneck at this point. Musk: I'd be surprised if -- if somebody buys the X, and particularly as the software gets refined, if it's not the product they love more than any product they've ever bought, I would be surprised. But yes, that's true. Elon R. Musk Co-Founder, Chairman, Chief Executive Officer and Product Architect.",positive,0.8183400332927704
"Our next question comes from the line of Patrick Archambault of Goldman Sachs. Patrick, can you just tell us, what is the current run rate of X production, where we stand today towards the middle of February? And can we talk a little bit about how you get to that ramp? I mean, it sounds like 1,000 is the target that would obviously mathematically get you to think about half your production. So that's pretty much full ramp, but it seems like that's a pretty big distance from where you are now. That would be my first question. Elon R. Musk Co-Founder, Chairman, Chief Executive Officer and Product Architect, TESLA, INC. FQ4 2015 EARNINGS CALL FEB 10, 2016.",neutral,0.8113560973985596
"Jason Wheeler: There was a bit of a dog's breakfast in Q4. We had some things in there. So there's some noise in the Q4 number, for sure, but I'm very confident in the projection and the forecast that we've given for 2016 relative to 2015. The next question comes from Dan Galves of Credit Suisse. Daniel Galves: Is it achievable to essentially keep the operating expenses pretty consistent throughout 2016? Jason S. Wheeler: Yes, we definitely believe that we can do that. The second question is about the 20% growth in 2016 versus 2015. It seems like that implies like relatively flat versus the Q fourth run rate. The third question is on the cost of goods sold.",neutral,0.5534074008464813
"Tesla has received $1.3 billion in incentives for the Gigafactory in Nevada. Musk: In order for us to achieve that, we have to develop about $100 billion in revenue. Tesla Fremont factory is currently #2, and if you're curious, #1 is a flower auction house in Washington. The Gigaf factory will be the largest footprint building in the world when it is done, Musk says. The Tesla Model 3 does not appear to be anywhere near the critical path for Model 3, he says. It's a big number in the absolute terms, but it is disproportionately small relative to incentives, let's say, Boeing would receive for keeping an aircraft factory in Washington, he adds. It is a big numbers, but I should say it does proportion -- it is aBig number, and I should says it is proportionate to the size of the factory.",neutral,0.5668118000030518
"I personally still prefer to drive the Model S over the X because I'm kind of a -- I like the lower position of a sedan. And the S, in terms of performance, is about 10% better in an acceleration or handling or whatnot than the X. So it really depends on optimization. If you like sort of a high seating position, like an amazing amount of room and functionality and just sort of the feeling of high visibility like -- I mean, because the -- one of the best features, maybe the best feature, of the X is the cockpit-style front windshield, which gives you this amazing panoramic view as you're driving.",positive,0.8158123195171356
"The Model 3, being a sedan, is about 20% lighter than -- and actually quite a bit less complex to manufacture than the Model S. The Model 3 is about 1/3 of the transaction price of roughly your initial Model X deliveries. Elon R. Musk Co-Founder, Chairman, Chief Executive Officer and Product Architect. James Joseph Albertine Stifel, Nicolaus & Company, Incorporated, Research Division on the Model 3. On the Model3, if I may, just I think a lot of folks are trying to do work as it relates on the margin trajectory over time. And it's clearly going to be volume dependent and sort of timing around the launch. But I was wondering if you could help us understand.",neutral,0.6248604953289032
"S was really the first car we ever made ourselves. So it was -- we were designing to make it work as opposed to designing it from ease of manufacturing. And then we expect, through economies of scale and just general design improvements, to get another 30% improvement. So that's where the 50% improvement comes relative to the S. So sort of 35k versus. FQ4 2015 EARNINGS CALL FEB 10, 2016 70k of 3 versus S is the way to think about the difference. And our default plan, as we've done in the past, is that the initial sales are relatively highly optioned versions of the car because, obviously, we've got to pay back the investment.",neutral,0.5717203915961456
"Rod Avraham Lache from Deutsche Bank. Can you comment at all on how you're expecting for the overall company gross margins would look this year? Are you expecting them to be able to stay above 25% even with the Model X ramping? Jason S. Wheeler Former Chief Financial Officer Sure. So as we said in the letter, 25% by the end of the year for Model X -- sorry, I'm a little under the weather -- and 30% for the rest of the company. Yes, yes, it makes sense. And we actually saw just the opposite, which was the increased interest and awareness and just customer engagement actually drove higher Model S sales even as the X was launched.",neutral,0.646712064743042
"Elon R. Musk: The Fremont plant, in fact, historically has produced almost 500,000 cars a year. We're comfortable that it can get back to that level. And then the Gigafactory is designed to support500,000 car a year worth of batteries, plus have 15 gigawatt hours left over for stationary storage. Jason Wheeler: We're densifying in markets where we already exist. And where demand has increased significantly, we've got to put service centers. But you'll see service centers and retail locations opening across all of our markets, including Europe. Elon: We are opening new new markets this year. Jason: In addition, we're opening a significant number of stores in China and in the Northeast of the U.S. as we increase our awareness and our share in those markets. Elon Musk: We will be opening about 80 retail locations and about 300 new Supercharger locations. Jason, can you give us some commentary on where exactly those new service centers might be?",positive,0.6223158836364746
"Elon Musk: I feel very good about things right now. The last several months have been quite excruciating, but I think we're through the worst of it at this point. Dana asked about whether the Gigafactory could handle the Model 3. I haven't been there. There are so many folks working over there. I mean, many late nights and weekends. But I'm curious. I'm looking for a 40,000-foot analysis. Elon R. Musk: Yes, it was -- the last several month have beenquite excruciating, I'd say. I think I'm through the best of it. Dana: Yes. Elon Musk: No, I'm not. I don't think that's the case. I just want to make sure that we're talking about the right thing to do, and we're doing it the right way.",neutral,0.393135666847229
"The Chevy Bolt is going to go on sale at the end of this year, so that'll be a full year that it's on sale before Model 3 arrives. Do you think, again, that these are very different customers? If you're comparing to an Audi A4, for example, are people still going to be attracted to the Model 3 even though they'll have that option on the market quite a while before the Model3 arrives? Elon R. Musk Co-Founder, Chairman, Chief Executive Officer and Product ArchitectTESLA, INC. FQ4 2015 EARNINGS CALL FEB 10, 2016. The next question comes from Dee-Ann Durbin of Associated Press.",neutral,0.8041784167289734
"Elon R. Musk: The demand is very strong. We're not seeing that impact at this point in time across really all of our markets, both domestic and international. I mean, that said, we don't want to be complacent about demand generation. And just in case we see things take a turn for the worse, we want to overshoot on demand generation by our stores. Jeff Evanson: That concludes the Q&A session of the call. Thank you so much for joining us today, and we look forward to seeing you all in the future. Elon Musk: Thanks, everyone. The call is now over.",positive,0.541561484336853
"The information in the transcripts are provided for internal business purposes and should not be used to assemble or create a database. Capital IQ does not guarantee or make any representation or warranty, either express or implied, as to the accuracy, validity, timeliness, completeness or continued availability of any Content. The Content is not intended to provide tax, legal, insurance or investment advice, and nothing in the Content should be construed as an offer to sell, a solicitation of an offer-to- buy, or a a guarantee of the accuracy or completeness of the content. The content is based on collection and policies governing audio to text conversion for readable ""Transcript"" content and all accompanying derived products. The provision of the Content is without any obligation on the part of Capital IQ, Inc. or its third party content providers to review such or any liability or responsibility.",neutral,0.6454252300229186
"The company's second quarter 2016 Q&A webcast is available at the same link as this webcast. During our call, we'll discuss our business outlook and make forward-looking statements. Actual events or results could differ from these statements due to a number of risks and uncertainties, including those mentioned in our most recent SEC filings. As a reminder, this conference may be recorded.I would now like to turn the call over to your host, Mr. Jeff Evanson. Sir, you may begin.Jeff Evanson        Vice President of Investor Relations at Tesla.        Elon Musk; J.B. Straubel; Jason Wheeler; and Jon McNeill.        Tesla's Q2 results are in the updated -- or in the update letter at theSame link.",neutral,0.8843141498612518
"Automotive gross margin expanded this quarter. One was the Model S refresh. The second big factor is obviously X production. On a go-forward basis, the way we're thinking about margins is we certainly see opportunities for continued cost-downs, both on the engineering front, also on the commercial front as well. We've got a supplier base that is very excited about the X production ramp. We're clearly disappointed with our delivery numbers but there's some underlying stories that we feel really good about, and I want to walk you through those. So Jason, over to you. Jason S. Wheeler Former Chief Financial Officer Sure. Thanks, Jeff, and thanks, everybody for joining.",positive,0.8320383727550507
"We ended up with $3.25 billion on the balance sheet at the end of the quarter. A couple of different factors here to talk about. One, we've got $678 million drawn on our asset-backed line. This is something that we've talked about in the past. That is definitely backed up by our operations. Second factor on the cash position that we'd like to highlight is our continued CapEx discipline. about the Model 3, and it's giving us the ability to leverage that, included for cost-downs and also continue manufacturing efficiencies. As we mentioned in the shareholder letter, labor hours per car is trending quite positively right now and we're laser focused on continued improvement in that key metric. About 5,000 cars in transit to customers at quarter end. We're financing our FGI. And we're monetizing our direct lease portfolio.",positive,0.6932181118421479
"In Q1, we had $217 million of CapEx in that quarter. In this quarter, $295 million ofCapEx. We compare that to averaging nearly $400 million a quarter throughout 2015. We're actually very pleased with these results and we're comfortable that we aren't doing anything to adversely impact our future. On a go-forward basis, thinking about CapEx efficiency, you've heard Elon talk a lot about that machine that makes the machine. A big part of that is focusing on volumetric efficiency. Second, I think we're making an attempt to crush the conventional wisdom that capacity increases only happen in step-change increments.",positive,0.6281460523605347
"Elon Musk: I don't think there's a strong park rationale to combine SpaceX and Tesla, whereas there is for Tesla and SolarCity. There's a little cooperation that happens between the companies but it's not enough that would justify merging them into 1 entity. And can you also give us update us on your -- on Tesla's proprietary mapping initiatives?Elon R. Musk: No, I think we would -- we should -- we prefer it be confidential in that regard. What we've said thus far is that we're in the process of building those and I think making good progress. And we're thinking proprietary lower at the satellite network to enhance the connected autonomous car ecosystem. That's what we're looking at.",neutral,0.7110964953899384
"As of May, you had 373-ish (sic) [373,000-ish] Model S -- Model 3 preorders which would imply about a $375 million inflow [indiscernible]. Could you maybe walk us between that number and what the actual change in deposits were? And in particular, where did Model 3preorders end the quarter at? Jason S. Wheeler Sure. In terms of thinking about the cash flow, yes, you're doing your math correctly, but we also release deposits when we deliver cars, so there's an inflow and there is an outflow there. And we had -- the deposits on the early Model X cars were larger than the later Model X car as well, so that's one of the impacts there as well. And in terms of the Model 3 reservations, the 373,000 number that you reference is what we talked about when we did when we spoke to you in April. The 373,00 number that we're talking about is the number we were talking about at the time.",neutral,0.8271280825138092
"In the press release, you indicated S and X orders were up about 65% year-over-year, but if we look at deliveries and production of the S, it hasn't changed that much since Q4. So if demand is up so much, why offer a lower-priced model and why hasn't production really been up that much more? Jonathan McNeill Sure. It's Jon, I'll give you a little bit of color on the demand which has been healthy for Model S in the second quarter and into the third quarter as well. But despite that, we didn't have cars in the European market with the new refresh until the last month of the quarter. We had some very healthy growth in the markets where we had cars in stores. So we had year- over-year growth in Model S demand.",neutral,0.6265280544757843
"Elon R. Musk: We saw more Model 3 demand than we anticipated. And a number of those reservation holders said to us we'd love to be in a Tesla today if you could provide a more affordable version of the Model S. And so we introduced the 60, and that's generated demand out of a new market segment. It is reaching down into that Model 3 reservation holder territory and portends really good things for future Model 3Demand. And then since since then, we've seen double-digit growth in both North America and China, really healthy growth inBoth of those markets. That growth has continued into the third quarter. And it's opened up a very nice segment for us for Model S, and we're very excited about it.",positive,0.9349636733531952
"Tesla is producing around 2,000 cars a week. The majority of the cars are X and S, but there's potential for them to be upgraded over time. Some parts of the world prefer more SUVs; some prefer more sedans, Tesla says. The company hopes to grow that a little bit towards the 60s and 70s, Tesla's most popular models, over the next few years. The 60s have the 75-kilowatt capacity, it's just software limited, says Tesla CEO Elon Musk. It's possible for the resell value of the car to be enhanced when it's returned to Tesla, he says.",positive,0.5347097218036652
"The Model 3 is overwhelmingly our focus. Things are -- things feel really quite stable with S and X. We're kind of in the mode of continuous improvement, but no fundamental issues, so it's -- I feel like the machine that's making X and S is actually functioning quite well right now and we're just -- I definitely burnt out a few neurons with the Q2 call. Our next question comes from the line of Ryan Brinkman of JPMorgan. Ryan J. Brinksman JP Morgan Chase & Co, Research Division Thanks for taking my question. Elon R. Musk CEO, Product Architect, Chairman & Co-Founder.",positive,0.6826103479494705
"The next question comes from John Murphy of Bank of America. John Joseph Murphy BofA Merrill Lynch, Research Division Just the first question is as we think about the 60 kilowatt hour versions of the S and X, I'm just curious if you could talk about the profitability of those right now versus the other models or sort of the corporate average as you see it. Jason S. Wheeler Former Chief Financial Officer Yes, sure, so -- go ahead, Elon. Elon R. Musk CEO, Product Architect, Chairman & Co-Founder Yes. So I was going to say, because people are optioning up the 60, it actually ends up being decent. But there's just a small number of people that want high-performance cars.",neutral,0.6804754436016083
"There's going to be some number, it's too early to tell, of people who buy it at 60, realize they want the extra range, and then they can. just order a kind of like an in-app purchase on the car's screen and unlock it. I suspect we'll see a pretty decent number of people do that but we don't -- it's still very early. And if they do, do that, then it will push gross margins up into the 20s, like in the mid-20s or something. John Joseph Murphy BofA Merrill Lynch, Research Division Okay, that's helpful. And then just, Jason, maybe just 2 quick sort of housekeeping questions. CapEx, the $2.25 billion, you're running a run rate that's less than half that for the first half of the year. So just curious how realistic that number is for the full year because you guys have committed to it in the shareholder letter again.",neutral,0.6365286260843277
"Gross margin for the second quarter was 25% on the Model X and 30% for the Model S. That's below the prior guidance of 30% to exit the year. The mix shift that we're seeing with more Xs being produced is one of the reasons. And now that we've talked a lot about just the production issues we've had, I think we're maybe a quarter or 2 off on that, but you're pointing to the right things. It's healthy and heading in the right direction, but they're obviously less than S. And our previous guidance had been approaching 25% for X and approaching 30% on S. So I think the mix shift is a big part of it.",neutral,0.6240162253379822
"Elon Musk: I'm cautiously optimistic that we'll actually meet those numbers by the end of the year. Maybe not for Q4 as a whole but exiting Q4, I -- my best guess is we're just under 30% for S and around 25% for X. And that's what it looks like to me. Joseph Robert Spak RBC Capital Markets, LLC, Research Division Okay. And then, Elon, as you transition to an in-house autopilot or autonomous solution, would you consider, in order to help build public support and confidence, about releasing regular reports similar to like Google does on what the technology is? Elon R. Musk: It's pretty small though. Jason S. Wheeler Former Chief Financial Officer Pretty small, yes. It'spretty small.",neutral,0.5449777839180603
" production line is humming. And our suppliers mostly have their sh*t together. There's a few that don't. One of them, I know you're visiting on Saturday personally to figure out what the hell is going on. But I mean just like -- the thing that's crazy hard about cars is that there's several thousand unique items and you move as fast as the slowest item in the whole car. So yes, but that said, like production is like -- it feels like we're -- I'm not losing sleep at night literally because of the production issues right now. 2,000 feels like a good number. That was like a slow steady increase in that number.",negative,0.4439712315797806
